Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-01-2021,EQ,1016.65,1016.65,939.2,968.25,948.5,947.75,975.59,1220,111.9,2143296,2090979323,72785
18-01-2021,EQ,945,980,920.1,947.75,955.95,949.75,935.54,1220,111.9,1294049,1210629631,44831
19-01-2021,EQ,978.85,997.2,966.5,949.75,997.2,992.85,984.29,1220,111.9,849095,835752660.1,37445
20-01-2021,EQ,994.65,1026.5,978.35,992.85,1016.5,1020.15,1009.98,1220,111.9,1055316,1065844013,54217
21-01-2021,EQ,1021.75,1056,1016.5,1020.15,1054,1048.8,1045.98,1220,111.9,902543,944042618.8,36746
22-01-2021,EQ,1047.8,1065.45,1035,1048.8,1047,1047.85,1049.51,1220,111.9,651810,684083256.3,28508
25-01-2021,EQ,1055,1064,1005,1047.85,1030,1031.1,1042.17,1220,111.9,528369,550649685.7,27464
27-01-2021,EQ,1030.2,1050,1020.8,1031.1,1030.3,1028.55,1034.69,1220,111.9,510466,528172810.7,27344
28-01-2021,EQ,1016.5,1039,1016.5,1028.55,1035.6,1032.9,1031.91,1220,111.9,273105,281819940.2,17777
29-01-2021,EQ,1035.6,1050,981.3,1032.9,1028,1004.9,1011.19,1220,111.9,1497461,1514224657,34075
01-02-2021,EQ,1018,1040.5,1005.65,1004.9,1028,1024.25,1023.73,1220,111.9,535861,548575914.7,24137
02-02-2021,EQ,1033.5,1046.95,1014,1024.25,1034.9,1031.95,1030.51,1220,111.9,353217,363992391.1,19652
03-02-2021,EQ,1041.25,1043.7,1017.2,1031.95,1025,1026.7,1028.51,1220,111.9,397320,408647064,20675
04-02-2021,EQ,1047.95,1078,1035,1026.7,1078,1078,1072.62,1220,111.9,1089299,1168400008,30176
05-02-2021,EQ,1101,1131,1053.75,1078,1078,1077.15,1096.61,1220,111.9,692820,759755176.7,33616
08-02-2021,EQ,1070,1097.2,1055.2,1077.15,1059,1063.45,1069.6,1220,111.9,431477,461507599.4,19820
09-02-2021,EQ,1068,1116,1031.05,1063.45,1092.05,1086.05,1065.35,1220,111.9,3536318,3767414302,45105
10-02-2021,EQ,1076,1097.9,1060,1086.05,1075.05,1080.45,1080.72,1220,111.9,4856552,5248595623,46341
11-02-2021,EQ,1080,1090,1051,1080.45,1059.8,1074.6,1078.92,1220,111.9,4503787,4859239236,28011
12-02-2021,EQ,1064.95,1081.7,1052,1074.6,1060,1068.95,1076.26,1220,111.9,4532486,4878148611,27773
15-02-2021,EQ,1068,1079.95,1037,1068.95,1038.15,1062.85,1074.54,1220,111.9,4525422,4862765346,23584
16-02-2021,EQ,1050,1113,1049,1062.85,1069.05,1078.3,1090.59,1220,111.9,5182242,5651690923,50496
17-02-2021,EQ,1085,1127,1051.05,1078.3,1090,1104.25,1096.2,1220,111.9,6145401,6736618417,77680
18-02-2021,EQ,1100,1129.4,1085.5,1104.25,1105,1109.5,1102.7,1220,111.9,5456103,6016464462,57422
19-02-2021,EQ,1109.8,1128,1069.05,1109.5,1116.5,1117.7,1109.84,1220,111.9,1004331,1114651487,28230
22-02-2021,EQ,1103,1152.05,1103,1117.7,1139.6,1141.45,1131.94,1220,111.9,956638,1082854330,32755
23-02-2021,EQ,1161.2,1198.5,1161,1141.45,1198.5,1196.2,1195.09,1220,111.9,5405934,6460556309,48163
24-02-2021,EQ,1209.7,1209.7,1159,1196.2,1161.5,1169.35,1180.9,1220,111.9,494155,583547327.5,20393
25-02-2021,EQ,1174.6,1192,1117.45,1169.35,1131,1128.55,1151.89,1220,111.9,678592,781666384.4,33657
26-02-2021,EQ,1125,1184.95,1101.55,1128.55,1148,1159.85,1157.14,1220,111.9,6662742,7709745060,63026
01-03-2021,EQ,1170,1170,1130.15,1159.85,1144.8,1141,1147.99,1220,111.9,448402,514762896.9,33363
02-03-2021,EQ,1155,1175,1134,1141,1172,1164.85,1154.39,1220,111.9,521226,601695536.7,29989
03-03-2021,EQ,1178.9,1190,1162.05,1164.85,1171,1176.3,1175.76,1220,111.9,494659,581602706.9,23170
04-03-2021,EQ,1176,1198,1165,1176.3,1182.8,1184.65,1183.72,1220,111.9,641914,759848253.3,22843
05-03-2021,EQ,1178.9,1206,1162,1184.65,1169.7,1172.75,1180.67,1220,111.9,595718,703346518.1,29157
08-03-2021,EQ,1178,1185,1162.25,1172.75,1171.8,1171.6,1171.22,1220,111.9,267891,313759884.2,17280
